Source_Mol,Target_Mol,Tissue,Source_Organism,Target_Organism,Label
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,[Na+].[Na+].[Na+].[O-]C(=O)P([O-])([O-])=O,kidney,Rat,Human,1
OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,OC(=O)C1=C(O)C=CC=C1.OC1=C2N=CC=CC2=CC=C1,kidney,Rat,Human,1
[Cl-].CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,kidney,Rat,Human,1
CCCCSP(=O)(SCCCC)SCCCC,CCCCSP(=O)(SCCCC)SCCCC,kidney,Rat,Human,1
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,kidney,Rat,Human,1
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,kidney,Rat,Human,1
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1,kidney,Rat,Human,1
CC1=CC=C(C=C1)S(=O)(=O)C(I)I,CCC1=CC=C(C=C1)S(O)(=O)=O,kidney,Rat,Human,1
CC(C)NC1=CC=C(NC(C)C)C2=C1C(=O)C1=CC=CC=C1C2=O,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O,kidney,Rat,Human,1
[Na+].[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=CC1=CC=C(C=C1)C1=CC=C(C=CC2=CC=CC=C2S([O-])(=O)=O)C=C1,OC(CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2)C1=CC=C(C=C1)C1=CC=C(Br)C=C1,kidney,Rat,Human,1
[Na+].CC1=CC=C(N=NC2=C(O)C=CC(N=NC3=CC=C(C=C3)S([O-])(=O)=O)=C2O)C(C)=C1,[Na+].[Na+].CC1=CC(C)=C(C=C1N=NC1=CC(=C2C=CC=CC2=C1O)S([O-])(=O)=O)S([O-])(=O)=O,kidney,Rat,Human,1
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,prostate,Rat,Human,1
CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,kidney,Rat,Human,1
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,CC(CS)C1CCC(C)C(S)C1,kidney,Rat,Human,1
CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,CN1C2=CC=CC=C2C(=N[C@H](NC(=O)C2=CC3=C(N2)C=CC=C3)C1=O)C1=CC=CC=C1,kidney,Rat,Human,1
[Na+].[Na+].CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(C=C1)N=NC1=C(C)C=C(C=C1)C1=CC=C(N=NC2=C(O)C=CC3=CC(=CC(=C23)S([O-])(=O)=O)S([O-])(=O)=O)C(C)=C1,[Na+].[Na+].[Na+].[Na+].CC1=CC(=CC=C1N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O)C1=CC(C)=C(C=C1)N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O,kidney,Rat,Human,1
O.O.O.O.[Na+].[O-]C1=C(C=CC=C1)C1=CC=CC=C1,COS([O-])(=O)=O.CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1,prostate,Rat,Human,1
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,Cl.NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,prostate,Rat,Human,1
[Na+].COC1=CC=C(C=C1)\N=N\C1=C(OC)C=C(\N=N\C2=CC=C(C=C2)S([O-])(=O)=O)C(C)=C1,COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O,prostate,Rat,Human,1
CCCCCC1=CC=C(O)C=C1,CCCCCCCCCCCCC1=CC=C(O)C=C1,kidney,Rat,Human,1
NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2,FC1=CC=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1Cl,kidney,Rat,Human,1
CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,prostate,Rat,Human,1
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1,kidney,Rat,Human,1
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,kidney,Rat,Human,1
CC1=C(N)C=CC(=C1)N=NC1=C(C)C=CC=C1,CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1,kidney,Rat,Human,1
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,OC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1O,kidney,Rat,Human,1
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,Cl.C(C1=NCCN1)C1=CC=CC=C1,kidney,Rat,Human,1
[Cl-].CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,kidney,Rat,Human,1
CC12CC1(C)C(=O)N(C2=O)C1=CC(Cl)=CC(Cl)=C1,C[C@]12C3CCC(O3)[C@@]1(C)C(=O)OC2=O,kidney,Rat,Human,1
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,kidney,Rat,Human,1
CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,CC(C)(C)C1=CC=C(O)C=C1,prostate,Rat,Human,1
CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,kidney,Rat,Human,1
CCOC(=O)CCC(=O)OCC,CC(C)=CCC\C(C)=C\CO,prostate,Rat,Human,1
CCC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,CCC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,brain,Rat,Human,1
OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,kidney,Rat,Human,1
CC(C)N(C(=O)CCl)C1=CC=CC=C1,Cl[Hg]C1=CC=CC=C1,kidney,Rat,Human,1
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,IC(I)=C(I)I,kidney,Rat,Human,1
[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,[Br-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,kidney,Rat,Human,1
C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,prostate,Rat,Human,1
CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,kidney,Rat,Human,1
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,kidney,Rat,Human,1
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,kidney,Rat,Human,1
OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,OC1=CC=C(C(=O)C2=CC(O)=C(O)C(O)=C2)C(O)=C1O,kidney,Rat,Human,1
CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,CC1=C(CCOC2=CC=CC3=C2C=CN3CCC(O)=O)N=C(O1)C1=CC=CC=C1,prostate,Rat,Human,1
COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,COP(=O)OC,kidney,Rat,Human,1
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,O.O.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,prostate,Rat,Human,1
OC1=CC2=C(C=CC=C2)C2=CC=CC=C12,NC1=CC=CC2=C(N)C=CC=C12,prostate,Rat,Human,1
O=C(CC1=CC=CC=C1)C1=CC=CC=C1,CCOC(=O)C1=NOC(C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,Cl[Bi](Cl)(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1,kidney,Rat,Human,1
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1,kidney,Rat,Human,1
[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C,[Cl-].[Cl-].[Cl-].[Dy+3],prostate,Rat,Human,1
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,kidney,Rat,Human,1
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CCC(C)(C)C1CCC(=O)CC1,prostate,Rat,Human,1
CO\N=C(\C(=O)OC)C1=C(COC2=C(C)C=CC=C2)C=CC=C1,CON=C(C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CC=CO1,kidney,Rat,Human,1
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,OC(=O)CC(O)(CC(O)=O)C(O)=O.CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,kidney,Rat,Human,1
CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,CCC1=CC(CC2=C(O)C(=CC(CC)=C2)C(C)(C)C)=C(O)C(=C1)C(C)(C)C,kidney,Rat,Human,1
C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,prostate,Rat,Human,1
NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2,OC(=O)C1CCN(CC1)C1=C(NC(=O)NC(=O)C2=CC(F)=C(F)C=C2Cl)C=C(F)C=C1,kidney,Rat,Human,1
CCCCCC1=CC=C(O)C=C1,CCCCCCCCC1=CC=C(O)C=C1,kidney,Rat,Human,1
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,OC(=O)CN(CCOCCOCCN(CC(O)=O)CC(O)=O)CC(O)=O,kidney,Rat,Human,1
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,OS(O)(=O)=O.CC(C)NNC(=O)C1=CC=NC=C1,kidney,Rat,Human,1
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,COP(=S)(NC(C)C)OC1=C(C=C(C)C=C1)[N+]([O-])=O,kidney,Rat,Human,1
OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,kidney,Rat,Human,1
NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2,FC1=CC=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1Cl,kidney,Rat,Human,1
OC1=CC2=C(C=CC=C2)C2=CC=CC=C12,CNC(=O)OC1=C2C=CC=CC2=CC=C1,prostate,Rat,Human,1
[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,[Cl-].CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1,kidney,Rat,Human,1
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,[I-].CCN1C(=CC=CC2=[N+](CC)C3=C(C=CC=C3)C=C2)C=CC2=C1C=CC=C2,kidney,Rat,Human,1
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,COC1=C(N)C=C(C=C1)[N+]([O-])=O,prostate,Rat,Human,1
COP(=O)(OC)O\C(=C/Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,kidney,Rat,Human,1
CCOC(=O)CCN(SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2)C(C)C,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,kidney,Rat,Human,1
O[N+]([O-])=O.ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,O[N+]([O-])=O.ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,kidney,Rat,Human,1
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,"CC(C)(C)CC(C)(C)C1=CC=CC=C1.O* |c:10,12,t:8,lp:14:2,m:15:13.12.11|",kidney,Rat,Human,1
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,OC1=CC=C(OC2=CC=CC=C2)C=C1,kidney,Rat,Human,1
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,C1=CC=C(C=C1)B(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,ClC(Cl)C(=O)N1CCOC11CCCCC1,prostate,Rat,Human,1
[Cl-].CCNC1=CC2=[O+]C3=C(C=C(C)C(NCC)=C3)C(=C2C=C1C)C1=C(C=CC=C1)C(=O)OCC,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,prostate,Rat,Human,1
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,NC1=CC(O)=C(C=C1)C(=O)OC1=CC=CC=C1,kidney,Rat,Human,1
[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,[Cl-].CCCCCCCCCCN1C=C[N+](CCCCCCCCCC)=C1C,kidney,Rat,Human,1
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(NC1=CC=CC=C1SSC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
CCCCCCCC\C=C/CCCCCCCC(=O)N(C)CC(O)=O,CCCCCCOC(=O)CCCCC(=O)OCCCCCC,prostate,Rat,Human,1
CCCCCC1=CC=C(O)C=C1,OC1=CC=C([Hg]Cl)C=C1,kidney,Rat,Human,1
CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,prostate,Rat,Human,1
Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,COC1=CC=C2[C@H]([C@H](C3=CC=CC=C3)C(C)(C)OC2=C1)C1=CC=C(OCCN2CCCC2)C=C1,kidney,Rat,Human,1
CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl,[Na+].CN(C)C(=O)CCSC(SCCC([O-])=O)C1=CC(\C=C\C2=NC3=CC(Cl)=CC=C3C=C2)=CC=C1,kidney,Rat,Human,1
NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2,CC1SC2=C(C(O)=O)C(=O)C3=CC(F)=C(C=C3N12)N1CCN(CC2=C(C)OC(=O)O2)CC1,kidney,Rat,Human,1
C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O,kidney,Rat,Human,1
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,CC1=CC(O)=C(C=C1SC1=C(C)C=C(O)C(=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,1
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,prostate,Rat,Human,1
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,Cl.CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1,prostate,Rat,Human,1
COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,COC1=CC=C(C(=O)C2=CC(O)=CC=C2)C(OC)=C1,kidney,Rat,Human,1
CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4C(C)=O)[C@@H]3CC=C2C1,kidney,Rat,Human,1
IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=NC=CC=C3)=C2)C=CC=C1,kidney,Rat,Human,1
CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@]12C,kidney,Rat,Human,1
COC1=CC(C=CC)=CC=C1O,COC1=CC(C=CC)=CC=C1O,kidney,Rat,Human,1
Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,kidney,Rat,Human,1
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,kidney,Rat,Human,1
[O-]C(=O)C1=CC=CC=C1.CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,kidney,Rat,Human,1
CC(COCC(C)OC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O,kidney,Rat,Human,1
[Na+].[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=CC1=CC=C(C=C1)C1=CC=C(C=CC2=CC=CC=C2S([O-])(=O)=O)C=C1,[Na+].[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=CC1=CC=C(C=C1)C1=CC=C(C=CC2=CC=CC=C2S([O-])(=O)=O)C=C1,kidney,Rat,Human,1
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,kidney,Rat,Human,1
[Cl-].CCNC1=CC=C(C(C2=CC=C(C=C2)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)C2=C1C=CC=C2,[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=C(O)C=C1)S([O-])(=O)=O,kidney,Rat,Human,1
Cl.CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1,Cl.CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1,brain,Rat,Human,1
[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,[Cl-].CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC,kidney,Rat,Human,1
CC1=CC2=C(OC(CN(CC3=CC=CC=C3)C(=O)NC3=C(F)C=C(F)C=C3F)=C2C2=CC=C(Cl)C=C2)C=C1,FC1=CC=C2N(CC3=CC(F)=CC=C3)C(=CC2=C1)C(=O)NC1=CC=C2NC=CC2=C1,kidney,Rat,Human,1
[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCN(CCO)CCO,kidney,Rat,Human,1
COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C,CC(C)NCC(O)COC1=CC(C)=C(OC(C)=O)C(C)=C1C,kidney,Rat,Human,1
CC(C)N(C(=O)CCl)C1=CC=CC=C1,CC(=O)O[Hg]C1=CC=CC=C1,kidney,Rat,Human,1
"CCCCCCCCCCCC*.OS(=O)(=O)C1=CC=CC=C1 |c:18,20,t:16,lp:13:2,15:2,16:2,m:12:20.21.22|",CCCCCCCCCCCCN,kidney,Rat,Human,1
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,ClCC(=O)C1=CC=CC=C1,prostate,Rat,Human,1
CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O,COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1,kidney,Rat,Human,1
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,O=C1CCCC2=C1C=C1C=CC3=C4C(C=CC2=C14)=CC=C3,kidney,Rat,Human,1
CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,OC1=C(O)C2=C(C=C1)[C@@H]1C3=CC(O)=C(O)C=C3C[C@]1(O)CO2,kidney,Rat,Human,1
COC1=CC(C=CC)=CC=C1O,COC1=CC(C=CC)=CC=C1O,kidney,Rat,Human,1
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,kidney,Rat,Human,1
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,OC1=C(Cl)C=C(Cl)C=C1SC1=C(O)C(Cl)=CC(Cl)=C1,kidney,Rat,Human,1
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,kidney,Rat,Human,1
CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O,CC(CCC=C(C)C)CC=O,prostate,Rat,Human,1
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,COC1=CC2=C(NC3=CC=C(Br)C=C3F)N=CN=C2C=C1OCC1CCN(C)CC1,kidney,Rat,Human,1
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(CC2CC1C1CCCC21)C1=CC=C(O)C=C1,kidney,Rat,Human,1
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,O=C1CCCC2=C1C=C1C=CC3=C4C(C=CC2=C14)=CC=C3,kidney,Rat,Human,1
CC1=CC=C(C(=C1)[N+]([O-])=O)[N+]([O-])=O,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CCOC1=O,kidney,Rat,Human,1
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,ClC1=C2C=CC=CC2=C(C=O)C2=CC=CC=C12,kidney,Rat,Human,1
CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,kidney,Rat,Human,1
COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(C=C1)S(C)=O)C(F)F,COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(C=C1)S(C)=O)C(F)F,kidney,Rat,Human,1
CCCCN(CCCC)C(=O)N(CCCC)CCCC,Cl.CCCCCCOC1=CC=C(C(=N)N(CCCC)CCCC)C2=C1C=CC=C2,kidney,Rat,Human,1
